,trial,method,quantile_loss,mean_in_quantile_loss,mean_in_quantile_pred_size,quantile_satisfied,mean_alpha,quantile_alpha
0,1,DKW,0.03517591953277588,0.017347844317555428,7.904444217681885,True,,0.05276381969451904
1,1,OrderStats,0.025125622749328613,0.011573423631489277,5.606222152709961,True,,0.02763819694519043
2,1,LttHB,0.022613048553466797,0.011008377186954021,5.381333351135254,True,0.044359803199768066,0.4435980319976808
3,2,DKW,0.030150771141052246,0.014925734139978886,6.940444469451904,True,,0.04271358251571655
4,2,OrderStats,0.02010047435760498,0.008729209192097187,4.474222183227539,True,,0.022613048553466797
5,2,LttHB,0.025125622749328613,0.011058628559112549,5.401333332061768,True,0.04141809418797493,0.4141809418797494
6,3,DKW,0.03768843412399292,0.019168058410286903,8.628889083862305,True,,0.057788968086242676
7,3,OrderStats,0.022613048553466797,0.010916808620095253,5.344888687133789,True,,0.02763819694519043
8,3,LttHB,0.025125622749328613,0.011509773321449757,5.580888748168945,True,0.04499497637152672,0.4499497637152673
9,4,DKW,0.03266334533691406,0.016665544360876083,7.6328887939453125,True,,0.04773867130279541
10,4,OrderStats,0.022613048553466797,0.01003797072917223,4.995110988616943,True,,0.025125622749328613
11,4,LttHB,0.025125622749328613,0.011041877791285515,5.39466667175293,True,0.0433829203248024,0.4338292032480241
12,5,DKW,0.030150771141052246,0.014189834706485271,6.647555351257324,True,,0.04271358251571655
13,5,OrderStats,0.022613048553466797,0.010483532212674618,5.1724443435668945,True,,0.025125622749328613
14,5,LttHB,0.030150771141052246,0.014189834706485271,6.647555351257324,True,0.04207838699221611,0.4207838699221612
15,6,DKW,0.03517591953277588,0.018182015046477318,8.236444473266602,True,,0.05527639389038086
16,6,OrderStats,0.022613048553466797,0.010400897823274136,5.13955545425415,True,,0.02763819694519043
17,6,LttHB,0.02763819694519043,0.013417081907391548,6.340000152587891,True,0.04527135193347931,0.4527135193347932
18,7,DKW,0.03266334533691406,0.01629815250635147,7.486666679382324,True,,0.04773867130279541
19,7,OrderStats,0.022613048553466797,0.010317145846784115,5.106222152709961,True,,0.025125622749328613
20,7,LttHB,0.025125622749328613,0.011364602483808994,5.523111343383789,True,0.043762821704149246,0.4376282170414926
21,8,DKW,0.030150771141052246,0.014661078341305256,6.835111141204834,True,,0.045226097106933594
22,8,OrderStats,0.022613048553466797,0.009324406273663044,4.711111068725586,True,,0.025125622749328613
23,8,LttHB,0.025125622749328613,0.011352318339049816,5.518222332000732,True,0.04301105812191963,0.43011058121919643
24,9,DKW,0.02763819694519043,0.013359013944864273,6.316888809204102,True,,0.040201008319854736
25,9,OrderStats,0.022613048553466797,0.010347295552492142,5.118222236633301,True,,0.025125622749328613
26,9,LttHB,0.025125622749328613,0.011445002630352974,5.555110931396484,True,0.0412050262093544,0.4120502620935441
27,10,DKW,0.03768843412399292,0.01953098364174366,8.773333549499512,True,,0.057788968086242676
28,10,OrderStats,0.025125622749328613,0.011783362366259098,5.689777851104736,True,,0.02763819694519043
29,10,LttHB,0.02763819694519043,0.013745389878749847,6.470666885375977,True,0.045320603996515274,0.45320603996515285
